Model Type,Model,Accuracy,Precision,Recall,F1,AUC,MAE,RMSE,R2,Adjusted R2
Classification,Logistic Regression,0.8146067415730337,0.7611940298507462,0.75,0.7555555555555555,0.8608957219251338,,,,
Classification,Decision Tree,0.7921348314606742,0.803921568627451,0.6029411764705882,0.6890756302521008,0.8175802139037434,,,,
Classification,Random Forest,0.8539325842696629,0.875,0.7205882352941176,0.7903225806451613,0.859692513368984,,,,
Classification,Tuned Random Forest,0.8426966292134831,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.8631684491978611,,,,
Regression,Linear Regression,,,,,,16.441466469205665,38.5911971284412,0.23189639029232534,0.14494126466504131
